"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 05 04:52:25 GMT 2024","Thu Dec 05 04:52:57 GMT 2024","31511","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
"passed","Thu Dec 05 06:28:35 GMT 2024","Thu Dec 05 06:28:43 GMT 2024","8624","webkit","","Unauthorized user","","","TC_09_01_04|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"broken","Thu Dec 05 05:18:23 GMT 2024","Thu Dec 05 05:18:54 GMT 2024","31519","webkit","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC",""
"broken","Thu Dec 05 05:10:16 GMT 2024","Thu Dec 05 05:10:48 GMT 2024","31546","webkit","","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone",""
"passed","Thu Dec 05 06:35:49 GMT 2024","Thu Dec 05 06:36:00 GMT 2024","10999","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""w"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 06:44:11 GMT 2024","Thu Dec 05 06:44:42 GMT 2024","30572","webkit","","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"broken","Thu Dec 05 05:44:18 GMT 2024","Thu Dec 05 05:45:52 GMT 2024","93954","webkit","","Help Center","","","TC_07_01_03 | Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input in Help Center","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Help center search, as well as previous search history when the search field is empty."
"passed","Thu Dec 05 06:35:42 GMT 2024","Thu Dec 05 06:35:49 GMT 2024","7465","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 07:13:28 GMT 2024","Thu Dec 05 07:13:59 GMT 2024","30326","webkit","","Report Abuse submission for each type of report","","","TC_09_07_08| Verify unauthorized user can submit the ""Report Abuse"" form for CSAM (Child Abuse)",""
"passed","Thu Dec 05 06:33:53 GMT 2024","Thu Dec 05 06:34:00 GMT 2024","7332","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""k"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 06:04:26 GMT 2024","Thu Dec 05 06:04:57 GMT 2024","31521","webkit","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"broken","Thu Dec 05 06:42:33 GMT 2024","Thu Dec 05 06:43:04 GMT 2024","30544","webkit","","Contact Us","","","TC_09_06_02 | Verify unauthorized users can submit the ""Contact Us"" form for ""Payment, Sales & Billing Issues"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"broken","Thu Dec 05 04:47:33 GMT 2024","Thu Dec 05 04:48:05 GMT 2024","31568","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA",""
"broken","Thu Dec 05 04:34:34 GMT 2024","Thu Dec 05 04:35:05 GMT 2024","31498","webkit","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader",""
"broken","Thu Dec 05 04:55:40 GMT 2024","Thu Dec 05 04:56:12 GMT 2024","31529","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT",""
"broken","Thu Dec 05 04:39:26 GMT 2024","Thu Dec 05 04:39:58 GMT 2024","31541","webkit","","DNS Records","","","TC_04_13 | Visual Test: Verify text in dialog ""Create hosted zone"".",""
"broken","Thu Dec 05 05:35:51 GMT 2024","Thu Dec 05 05:36:22 GMT 2024","31457","webkit","","Blog","","","TC_06_01 | Verify Blog search functionality with random characters","To verify that ""No results for... "" message appears after search with random characters."
"broken","Thu Dec 05 06:50:43 GMT 2024","Thu Dec 05 06:51:14 GMT 2024","30478","webkit","","Contact Us","","","TC_09_06_07 | Verify unauthorized users can submit the ""Contact Us"" form for ""Private Email"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Thu Dec 05 06:31:49 GMT 2024","Thu Dec 05 06:31:57 GMT 2024","8985","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the OV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the OV subscription SSL Сertificates"
"broken","Thu Dec 05 05:33:11 GMT 2024","Thu Dec 05 05:34:45 GMT 2024","93862","webkit","","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"broken","Thu Dec 05 06:55:36 GMT 2024","Thu Dec 05 06:56:07 GMT 2024","30538","webkit","","Contact Us","","","TC_09_06_10 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feature/Product Request"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Thu Dec 05 06:31:09 GMT 2024","Thu Dec 05 06:31:15 GMT 2024","6397","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosting link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosting link in header"
"passed","Thu Dec 05 06:28:27 GMT 2024","Thu Dec 05 06:28:35 GMT 2024","7786","webkit","","Unauthorized user","","","TC_09_01_03|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Thu Dec 05 06:29:59 GMT 2024","Thu Dec 05 06:30:21 GMT 2024","22524","webkit","","Unauthorized user","","","TC_09_03_06 | Verify that user can select several TLDs and see relevant search results","Verify that user can select several TLDs and see relevant search results"
"passed","Thu Dec 05 06:30:37 GMT 2024","Thu Dec 05 06:30:54 GMT 2024","16115","webkit","","Unauthorized user","","","TC_09_03_03 | Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons","Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons"
"broken","Thu Dec 05 07:07:04 GMT 2024","Thu Dec 05 07:07:34 GMT 2024","30551","webkit","","Report Abuse submission for each type of report","","","TC_09_07_04| Verify unauthorized user can submit the ""Report Abuse"" form for Hacking Activity",""
"broken","Thu Dec 05 05:08:39 GMT 2024","Thu Dec 05 05:09:10 GMT 2024","31509","webkit","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone",""
"passed","Thu Dec 05 06:34:00 GMT 2024","Thu Dec 05 06:34:12 GMT 2024","11637","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""l"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 06:28:48 GMT 2024","Thu Dec 05 06:28:53 GMT 2024","4701","webkit","","Unauthorized user","","","TC_09_01_06|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Thu Dec 05 06:30:31 GMT 2024","Thu Dec 05 06:30:37 GMT 2024","6164","webkit","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search","Verify unauthorized user can open modal window with filters for advanced search"
"broken","Thu Dec 05 04:31:19 GMT 2024","Thu Dec 05 04:31:51 GMT 2024","31534","webkit","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo",""
"broken","Thu Dec 05 05:07:02 GMT 2024","Thu Dec 05 05:07:33 GMT 2024","31527","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields",""
"passed","Thu Dec 05 06:29:05 GMT 2024","Thu Dec 05 06:29:11 GMT 2024","6773","webkit","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"broken","Thu Dec 05 04:57:17 GMT 2024","Thu Dec 05 04:57:49 GMT 2024","31486","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields",""
"broken","Thu Dec 05 07:00:30 GMT 2024","Thu Dec 05 07:01:00 GMT 2024","30543","webkit","","Contact Us","","","TC_09_06_13 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feedback"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"broken","Thu Dec 05 04:54:03 GMT 2024","Thu Dec 05 04:54:34 GMT 2024","31547","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS",""
"broken","Thu Dec 05 07:18:15 GMT 2024","Thu Dec 05 07:18:46 GMT 2024","30572","webkit","","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants",""
"broken","Thu Dec 05 07:03:51 GMT 2024","Thu Dec 05 07:04:22 GMT 2024","30569","webkit","","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam",""
"broken","Thu Dec 05 05:11:54 GMT 2024","Thu Dec 05 05:12:25 GMT 2024","31545","webkit","","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".",""
"passed","Thu Dec 05 06:33:45 GMT 2024","Thu Dec 05 06:33:53 GMT 2024","7505","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""j"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 04:50:48 GMT 2024","Thu Dec 05 04:51:20 GMT 2024","31498","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS",""
"broken","Thu Dec 05 06:53:59 GMT 2024","Thu Dec 05 06:54:29 GMT 2024","30531","webkit","","Contact Us","","","TC_09_06_09 | Verify unauthorized users can submit the ""Contact Us"" form for ""Bug/Technical Issue"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Thu Dec 05 06:32:45 GMT 2024","Thu Dec 05 06:32:57 GMT 2024","11601","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""e"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 06:33:20 GMT 2024","Thu Dec 05 06:33:32 GMT 2024","12411","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""h"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 06:09:18 GMT 2024","Thu Dec 05 06:09:49 GMT 2024","31503","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"broken","Thu Dec 05 05:57:02 GMT 2024","Thu Dec 05 05:58:36 GMT 2024","93918","webkit","","Help Center","","","TC_07_01_06 | Verify the user can switch between headings in the selected article","Verify that relevant articles are displayed."
